orf	Mw	PI	Protein.Length	GRAVY.Score	Aromaticity.Score	CAI	Codon.Bias	FOP.Score	Ala	Cys	Asp	Glu	Phe	Gly	His	Ile	Lys	Leu	Met	Asn	Pro	Gln	Arg	Ser	Thr	Val	Trp	Tyr	INSTABILITY.INDEX..II.	ALIPHATIC.INDEX	mRNA	abundance	density	occupancy	transcripthl	transcriptsyn	halflife	noise	hydro	AP	ID	tAI	GC	helix	sheet	coil	TF	kinase	PPI	ePPI
Q0080	5825.3	10.27	48	1.24	0.21	0.24	0.83	0.89	0	0	0	0	0.145833333	0.020833333	0	0.083333333	0.020833333	0.25	0.083333333	0.020833333	0.0625	0.0625	0.041666667	0.0625	0.041666667	0.041666667	0	0.0625	52.97	131.08	NA	NA	4.76	0.69	NA	NA	NA	NA	1.30179	1403.58	0.0208333	NA	0.190476	0.854167	0	0.145833	NA	NA	15	1
Q0085	29100.1	8.39	259	1.1	0.15	0.18	0.7	0.8	0.057915058	0.003861004	0.015444015	0.015444015	0.084942085	0.065637066	0.015444015	0.131274131	0.019305019	0.177606178	0.042471042	0.054054054	0.030888031	0.019305019	0.015444015	0.069498069	0.069498069	0.05019305	0.019305019	0.042471042	29.15	137.83	NA	NA	0.38	0.49	NA	NA	NA	NA	1.22706	8832.38	0.00772201	NA	0.23718	0.706564	0	0.293436	NA	NA	52	4
Q0092	5853.4	10.05	46	0.71	0.22	0.04	-0.27	0.23	0	0.02173913	0	0	0.130434783	0	0	0.130434783	0.02173913	0	0.239130435	0.130434783	0	0	0.065217391	0.02173913	0.086956522	0.065217391	0	0.086956522	47.61	59.97	NA	NA	NA	NA	NA	NA	NA	NA	1.05145	1975.31	0.108696	NA	0.156028	0.23913	0.673913	0.0869565	NA	NA	NA	0
Q0105	43661.2	8.93	385	0.83	0.17	0.17	0.66	0.76	0.057142857	0.01038961	0.020779221	0.012987013	0.093506494	0.064935065	0.033766234	0.103896104	0.018181818	0.111688312	0.044155844	0.051948052	0.049350649	0.015584416	0.028571429	0.072727273	0.041558442	0.096103896	0.018181818	0.054545455	43.14	111.84	NA	NA	NA	NA	NA	NA	NA	NA	1.03853	12556.5	0.0311688	NA	0.277202	0.542857	0.0103896	0.446753	NA	NA	9	0
Q0110	49353.2	9.92	423	0.05	0.14	0.14	0.37	0.59	0.030732861	0.016548463	0.023640662	0.01891253	0.040189125	0.066193853	0.021276596	0.09929078	0.080378251	0.09929078	0.080378251	0.089834515	0.023640662	0.021276596	0.023640662	0.06855792	0.052009456	0.040189125	0.01891253	0.085106383	34.78	86.89	NA	NA	0.15	0.76	NA	NA	NA	NA	0.54664	8810.94	0.0874704	NA	0.20283	0.390071	0.111111	0.498818	NA	NA	23	2
Q0115	61203.1	9.93	517	0.01	0.16	0.13	0.41	0.61	0.02901354	0.011605416	0.032882012	0.023210832	0.054158607	0.050290135	0.01934236	0.114119923	0.088974855	0.090909091	0.063829787	0.096711799	0.027079304	0.017408124	0.025145068	0.061895551	0.042553191	0.044487427	0.021276596	0.085106383	40.38	88.98	NA	NA	0.08	0.41	NA	NA	NA	NA	0.496171	9383.49	0.0174081	NA	0.189833	0.415861	0.12766	0.45648	NA	NA	26	1
Q0120	74618	10.03	638	-0.02	0.16	0.15	0.67	0.77	0.043887147	0.014106583	0.032915361	0.020376176	0.068965517	0.051724138	0.02507837	0.089341693	0.079937304	0.098746082	0.036050157	0.097178683	0.021943574	0.028213166	0.031347962	0.064263323	0.05015674	0.056426332	0.021943574	0.067398119	43.48	87.51	NA	NA	0.05	0.71	NA	NA	NA	NA	0.54693	11995.7	0.0956113	NA	0.226917	0.456113	0.109718	0.434169	NA	NA	39	3
Q0130	7760.5	8.52	76	1.45	0.09	0.18	0.79	0.85	0.131578947	0.013157895	0.013157895	0.013157895	0.078947368	0.131578947	0	0.118421053	0.026315789	0.157894737	0.039473684	0.026315789	0.026315789	0.013157895	0.013157895	0.065789474	0.039473684	0.078947368	0	0.013157895	12.28	150.81	NA	NA	4.63	0.75	NA	NA	NA	NA	1.63895	2524.49	0.0131579	NA	0.333333	0.881579	0	0.118421	NA	NA	26	2
Q0140	47155.2	10.39	398	-0.79	0.09	0.09	-0.17	0.3	0.007537688	0.002512563	0.025125628	0.005025126	0.012562814	0.025125628	0.012562814	0.105527638	0.095477387	0.103015075	0.082914573	0.319095477	0.01758794	0.010050251	0.012562814	0.040201005	0.032663317	0.012562814	0.007537688	0.070351759	41.68	81.18	NA	NA	0.25	0.63	NA	NA	NA	NA	0.168102	649.235	0.0100503	NA	0.103592	0.384422	0.133166	0.482412	NA	NA	13	2
Q0142	6870.3	9.83	58	-0.18	0.09	0.07	-0.42	0.16	0	0	0	0.017241379	0.034482759	0.034482759	0.017241379	0.086206897	0	0.034482759	0.224137931	0.189655172	0.034482759	0	0.051724138	0.051724138	0.155172414	0.017241379	0	0.051724138	57.54	49.15	NA	NA	NA	NA	NA	NA	NA	NA	0.781767	1731.09	0.206897	NA	0.19774	0.206897	0.327586	0.465517	NA	NA	NA	0
Q0143	5940	7.77	50	0.13	0.14	0.11	-0.41	0.14	0	0	0.02	0.02	0.04	0.04	0.06	0.14	0.04	0.14	0.06	0.16	0.04	0	0	0.04	0.08	0.02	0.02	0.08	62.42	108.85	NA	NA	NA	NA	NA	NA	NA	NA	0.416812	666.551	0.02	NA	0.228758	0	0.74	0.26	NA	NA	NA	0
Q0144	14139.4	8.93	109	0.71	0.29	0.08	-0.55	0.19	0	0.009174312	0	0.009174312	0.064220183	0.009174312	0	0.165137615	0.036697248	0.110091743	0.165137615	0.128440367	0.009174312	0.009174312	0	0	0.04587156	0.009174312	0.009174312	0.220183486	47.71	95.67	NA	NA	NA	NA	NA	NA	NA	NA	1.07678	4297.57	0	NA	0.081818	0.59633	0.201835	0.201835	NA	NA	NA	0
Q0160	27693.6	9.71	235	-0.38	0.13	0.14	0.42	0.61	0.029787234	0.012765957	0.034042553	0.05106383	0.046808511	0.042553191	0.017021277	0.076595745	0.110638298	0.110638298	0.038297872	0.106382979	0.038297872	0.042553191	0.017021277	0.05106383	0.042553191	0.046808511	0.021276596	0.063829787	42.26	83.33	NA	NA	NA	NA	NA	NA	NA	NA	0.294249	1853.55	0.0510638	NA	0.201978	0.370213	0.2	0.429787	NA	NA	NA	0
Q0182	16281.4	10.36	134	-0.11	0.22	0.06	-0.18	0.2	0.014925373	0	0.014925373	0.014925373	0.111940299	0.074626866	0.014925373	0.104477612	0.052238806	0.02238806	0.104477612	0.126865672	0.037313433	0	0.067164179	0.052238806	0.029850746	0.044776119	0.007462687	0.104477612	42.17	57.55	NA	NA	NA	NA	NA	NA	NA	NA	0.463593	3019.52	0.216418	NA	0.261729	0.171642	0.425373	0.402985	NA	NA	NA	0
Q0250	28550.2	4.2	251	0.35	0.12	0.19	0.44	0.61	0.059760956	0.015936255	0.055776892	0.06374502	0.047808765	0.047808765	0.019920319	0.103585657	0.03187251	0.115537849	0.03187251	0.03187251	0.051792829	0.035856574	0.019920319	0.051792829	0.06374502	0.075697211	0.019920319	0.055776892	36.99	107.88	NA	NA	NA	NA	NA	NA	NA	NA	0.683099	3560.13	0.00796813	NA	0.267195	0.330677	0.155378	0.513944	NA	NA	55	4
Q0255	56445.4	10.08	472	-0.51	0.14	0.12	0.18	0.47	0.014830508	0.008474576	0.052966102	0.023305085	0.042372881	0.031779661	0.01059322	0.101694915	0.118644068	0.097457627	0.048728814	0.156779661	0.025423729	0.012711864	0.025423729	0.050847458	0.050847458	0.029661017	0.019067797	0.078389831	41.08	81.51	NA	NA	NA	NA	NA	NA	NA	NA	0.258582	4659.07	0.059322	NA	0.15363	0.305085	0.235169	0.459746	NA	NA	26	3
Q0275	30356.9	7.08	269	0.69	0.15	0.16	0.7	0.8	0.081784387	0.007434944	0.018587361	0.026022305	0.059479554	0.07063197	0.055762082	0.066914498	0.007434944	0.133828996	0.048327138	0.033457249	0.033457249	0.014869888	0.026022305	0.059479554	0.074349442	0.092936803	0.033457249	0.055762082	31.89	107.33	NA	NA	NA	NA	NA	NA	NA	NA	0.962	8771.86	0.0371747	NA	0.3	0.643123	0.00743494	0.349442	NA	NA	43	3
Q0297	5921.2	11.37	51	-1.21	0.08	0.04	-0.2	0.17	0.039215686	0	0.039215686	0.019607843	0.019607843	0.078431373	0	0.019607843	0.117647059	0.019607843	0.117647059	0.078431373	0.156862745	0	0.117647059	0.039215686	0.039215686	0.039215686	0	0.058823529	115.08	27.02	NA	NA	NA	NA	NA	NA	NA	NA	0.0370879	0	0.686275	NA	0.448718	0.0784314	0.0784314	0.843137	NA	NA	NA	0
R0010W	48636.5	9.8	423	-0.32	0.11	0.1	-0.1	0.39	0.056737589	0.011820331	0.033096927	0.061465721	0.04964539	0.040189125	0.021276596	0.085106383	0.085106383	0.092198582	0.016548463	0.052009456	0.035460993	0.040189125	0.047281324	0.096926714	0.066193853	0.044917258	0.014184397	0.04964539	40.13	82.79	NA	NA	NA	NA	20.83	2.76	NA	NA	0.286613	3112.92	0.163121	NA	0.370283	0.439716	0.0992908	0.460993	NA	NA	NA	0
R0020C	43224.5	6.38	373	-0.46	0.11	0.1	-0.07	0.41	0.048257373	0.018766756	0.053619303	0.091152815	0.053619303	0.048257373	0.032171582	0.080428954	0.072386059	0.064343164	0.013404826	0.048257373	0.037533512	0.042895442	0.053619303	0.064343164	0.050938338	0.072386059	0.016085791	0.037533512	39.72	76.05	NA	NA	NA	NA	13.37	74.98	NA	NA	0.246486	3678.58	0.214477	NA	0.398396	0.404826	0.155496	0.439678	NA	NA	NA	0
R0030W	21288.9	5.98	181	-0.16	0.09	0.09	-0.03	0.4	0.038674033	0.033149171	0.077348066	0.055248619	0.049723757	0.005524862	0.005524862	0.077348066	0.038674033	0.154696133	0.011049724	0.033149171	0.066298343	0.055248619	0.08839779	0.060773481	0.060773481	0.044198895	0.005524862	0.038674033	57.07	100.21	NA	NA	NA	NA	9.21	40.56	NA	NA	0.336396	192.42	0.0110497	NA	0.399267	0.58011	0	0.41989	NA	NA	NA	0
R0040C	33201.5	9.54	296	-0.52	0.04	0.11	0.04	0.45	0.077702703	0.006756757	0.067567568	0.074324324	0.02027027	0.037162162	0.003378378	0.057432432	0.074324324	0.094594595	0.033783784	0.047297297	0.050675676	0.033783784	0.084459459	0.084459459	0.064189189	0.067567568	0.003378378	0.016891892	55.44	82.06	NA	NA	NA	NA	12.01	98.7	NA	NA	0.316402	1401.36	0.388514	NA	0.417509	0.39527	0.0236486	0.581081	NA	NA	NA	0
YAL001C	132146.8	9.93	1160	-0.51	0.08	0.12	-0.03	0.42	0.044827586	0.006034483	0.068103448	0.062931034	0.036206897	0.050862069	0.013793103	0.075	0.107758621	0.08362069	0.014655172	0.056896552	0.025862069	0.031896552	0.055172414	0.08362069	0.064655172	0.075	0.012931034	0.030172414	31.78	83.17	0.3	6.965784285	0.13	0.69	10.35	12.37	475	NA	0.238378	4011.38	0.168103	0.3623745	0.371232	0.336207	0.0922414	0.571552	1	NA	39	15
YAL002W	144934.1	5.69	1274	-0.09	0.1	0.13	0.05	0.46	0.039246468	0.020408163	0.054160126	0.062794349	0.046310832	0.035321821	0.023547881	0.080062794	0.062009419	0.126373626	0.01177394	0.058869702	0.03689168	0.041601256	0.032182104	0.101255887	0.052590267	0.064364207	0.010989011	0.039246468	42.28	98.8	0.2	9.523561956	0.13	0.67	5.11	12.41	NA	NA	0.431681	11204.8	0.0879121	0.3631789	0.371765	0.43956	0.121664	0.438776	NA	NA	26	2
YAL003W	22603	4.05	206	-0.42	0.08	0.76	0.78	0.88	0.155339806	0.004854369	0.106796117	0.106796117	0.048543689	0.029126214	0.014563107	0.058252427	0.087378641	0.058252427	0.019417476	0.029126214	0.029126214	0.04368932	0.009708738	0.072815534	0.038834951	0.058252427	0.014563107	0.014563107	41.79	72.18	19.1	NA	NA	NA	37.46	144.28	NA	NA	0.249257	73.6826	0.276699	0.6446026	0.446055	0.368932	0.126214	0.504854	5	NA	89	19
YAL004W	23732.7	5.18	215	-0.02	0.08	0.19	0.28	0.58	0	0.009302326	0.060465116	0.037209302	0.055813953	0.08372093	0.027906977	0.060465116	0.023255814	0.106976744	0.004651163	0.069767442	0	0.055813953	0.041860465	0.130232558	0.093023256	0.11627907	0.023255814	0	23.89	97.23	NA	NA	1.65	0.77	NA	NA	NA	NA	0.459307	1533.85	0.0372093	NA	0.449074	0.0465116	0.390698	0.562791	2	NA	NA	0
YAL005C	69636.8	4.73	642	-0.44	0.06	0.71	0.8	0.89	0.093457944	0.004672897	0.076323988	0.079439252	0.043613707	0.07788162	0.007788162	0.062305296	0.082554517	0.074766355	0.012461059	0.049844237	0.043613707	0.035825545	0.040498442	0.063862928	0.070093458	0.063862928	0.001557632	0.015576324	31.9	78.82	13.4	18.03724665	0.55	0.79	127.65	9.49	77	13.097	0.250866	906.382	0.155763	0.6297463	0.440643	0.34891	0.160436	0.490654	8	NA	106	34
YAL007C	24058.8	4.74	215	0.15	0.1	0.23	0.25	0.59	0.074418605	0.009302326	0.055813953	0.060465116	0.051162791	0.037209302	0.004651163	0.102325581	0.065116279	0.102325581	0.013953488	0.065116279	0.018604651	0.023255814	0.027906977	0.088372093	0.074418605	0.074418605	0.009302326	0.041860465	33.28	104.56	2.2	14.68277518	0.73	0.81	41.44	19.28	49	2.057	0.670222	2852.4	0.24186	0.4402051	0.37037	0.404651	0.288372	0.306977	1	NA	32	8
YAL008W	22081.7	11.17	198	0.28	0.1	0.12	0.07	0.45	0.050505051	0.005050505	0.02020202	0.025252525	0.065656566	0.095959596	0.005050505	0.060606061	0.085858586	0.141414141	0.04040404	0.070707071	0.025252525	0.025252525	0.050505051	0.060606061	0.045454545	0.090909091	0.015151515	0.02020202	33.4	106.6	1.2	10.9068906	0.79	0.84	23.48	2.17	26	NA	0.670584	3591.71	0.136364	0.3826176	0.38861	0.434343	0.0858586	0.479798	NA	NA	22	4
YAL009W	30130	10.61	259	-0.32	0.12	0.11	0.02	0.45	0.061776062	0.007722008	0.046332046	0.05019305	0.065637066	0.042471042	0.019305019	0.081081081	0.065637066	0.073359073	0.011583012	0.038610039	0.027027027	0.042471042	0.092664093	0.096525097	0.054054054	0.069498069	0.023166023	0.030888031	51.52	79.54	0.6	9.749869427	0.38	0.71	17.99	3.49	NA	NA	0.386923	2854.65	0.23166	0.3324427	0.414102	0.409266	0.0965251	0.494208	NA	NA	26	4
YAL010C	56236.5	7.34	493	-0.47	0.11	0.12	-0.04	0.4	0.034482759	0.010141988	0.058823529	0.042596349	0.056795132	0.034482759	0.022312373	0.048681542	0.058823529	0.119675456	0.012170385	0.077079108	0.036511156	0.036511156	0.040567951	0.133874239	0.089249493	0.030425963	0.016227181	0.040567951	35.65	74.95	0.3	9.584962501	0.07	0.66	6.35	7.28	43	NA	0.204828	823.885	0.286004	0.3325832	0.367746	0.127789	0.245436	0.626775	NA	NA	14	1
YAL011W	72531.5	9.79	625	-1.11	0.05	0.15	0.09	0.49	0.0592	0.0048	0.064	0.1104	0.0224	0.0288	0.0144	0.0448	0.136	0.0736	0.0304	0.0448	0.0464	0.0512	0.064	0.0752	0.0496	0.048	0.0096	0.0224	60.26	60.54	0.4	10.43045255	0.25	0.62	7.24	8.56	56	NA	0.131047	822.957	0.5712	0.3720017	0.415868	0.2256	0.064	0.7104	1	NA	26	5
YAL012W	42535.4	6.52	394	-0.14	0.07	0.42	0.62	0.78	0.104060914	0	0.053299492	0.053299492	0.035532995	0.07106599	0.035532995	0.060913706	0.055837563	0.101522843	0.007614213	0.055837563	0.043147208	0.038071066	0.032994924	0.073604061	0.07106599	0.076142132	0.005076142	0.025380711	30.26	93.53	8.9	15.22505677	0.59	0.81	35.97	48.86	NA	-0.855	0.323541	1237.78	0.0532995	0.5003737	0.48692	0.332487	0.134518	0.532995	8	NA	50	6
YAL013W	46938.1	4.32	405	-1	0.06	0.1	0.07	0.48	0.061728395	0.014814815	0.081481481	0.135802469	0.017283951	0.022222222	0.024691358	0.051851852	0.069135802	0.091358025	0.022222222	0.059259259	0.044444444	0.056790123	0.049382716	0.064197531	0.054320988	0.034567901	0.004938272	0.039506173	58.69	66.89	0.6	NA	0.43	0.65	5.31	18.96	NA	NA	0.119419	43.0577	0.264286	0.3325637	0.512272	0.483333	0	0.516667	NA	NA	71	4
YAL014C	29034	4.42	255	-0.51	0.04	0.1	0.03	0.43	0.023529412	0.007843137	0.090196078	0.066666667	0.019607843	0.02745098	0.015686275	0.047058824	0.050980392	0.164705882	0.015686275	0.078431373	0.043137255	0.08627451	0.047058824	0.08627451	0.039215686	0.070588235	0	0.019607843	46.66	101.37	1.1	NA	0.32	0.69	9.93	33.61	NA	NA	0.4429	1673.24	0.427451	0.3403212	0.449218	0.596078	0	0.403922	NA	1	8	3
YAL015C	45579.4	8.18	399	-0.35	0.07	0.12	0.08	0.47	0.037593985	0.012531328	0.052631579	0.07518797	0.015037594	0.047619048	0.012531328	0.070175439	0.090225564	0.105263158	0.030075188	0.035087719	0.05764411	0.055137845	0.042606516	0.065162907	0.060150376	0.082706767	0.025062657	0.027568922	49	90.93	0.7	NA	0.39	0.73	15.5	3.08	NA	NA	0.295	937.541	0.107769	0.3568692	0.434166	0.446115	0	0.553885	NA	NA	49	16
YAL016C-A	11214.9	3.75	104	0.8	0.1	0.14	0.12	0.49	0.086538462	0.009615385	0.067307692	0.048076923	0.086538462	0.019230769	0	0.057692308	0.009615385	0.125	0.019230769	0.038461538	0.038461538	0.019230769	0.028846154	0.144230769	0.048076923	0.144230769	0	0.009615385	41.11	118.92	NA	NA	NA	NA	NA	NA	NA	NA	0.991251	2603.58	0.115385	NA	0.409524	0.394231	0.221154	0.384615	NA	NA	NA	0
YAL016C-B	7405.6	7.5	61	0.01	0.2	0.24	0.23	0.58	0.016393443	0	0.016393443	0.081967213	0.081967213	0.016393443	0.016393443	0.147540984	0.06557377	0.098360656	0.016393443	0.081967213	0.032786885	0.016393443	0.032786885	0.081967213	0.049180328	0.032786885	0	0.114754098	47.07	98.11	NA	NA	NA	NA	NA	NA	NA	NA	0.592734	2194.64	0.114754	NA	0.258065	0.0491803	0.655738	0.295082	NA	NA	NA	0
YAL016W	70873.7	4.31	635	0.09	0.07	0.18	0.13	0.5	0.083464567	0.011023622	0.083464567	0.061417323	0.042519685	0.026771654	0.006299213	0.074015748	0.05511811	0.143307087	0.014173228	0.05511811	0.033070866	0.042519685	0.036220472	0.078740157	0.045669291	0.077165354	0.011023622	0.018897638	41.8	111.12	3.3	14.04473563	0.56	0.72	19.88	33.45	180	-2.478	0.504696	3718.34	0.0330709	0.407263	0.3826	0.774803	0	0.225197	4	5	47	8
YAL017W	152294.2	5.45	1356	-0.47	0.07	0.13	0	0.43	0.044247788	0.008849558	0.07079646	0.071533923	0.044985251	0.044247788	0.025811209	0.065634218	0.075221239	0.104719764	0.018436578	0.062684366	0.053834808	0.028761062	0.038348083	0.10840708	0.055309735	0.048672566	0.005899705	0.02359882	43.04	82.2	0.4	9.917372079	0.07	0.67	11.08	12.38	3	NA	0.251061	4745.72	0.30236	NA	0.388848	0.185841	0.0781711	0.735988	5	1	94	16
YAL018C	37053.6	8.96	325	0.44	0.17	0.15	0.11	0.49	0.058461538	0.003076923	0.015384615	0.04	0.104615385	0.064615385	0.021538462	0.083076923	0.046153846	0.123076923	0.030769231	0.058461538	0.049230769	0.036923077	0.018461538	0.067692308	0.046153846	0.064615385	0.006153846	0.061538462	38.16	99.74	NA	NA	0.48	0.73	NA	NA	NA	NA	0.782298	6770.94	0.0676923	0.3827718	0.378323	0.615385	0.04	0.344615	5	NA	8	1
YAL019W	128470.9	5.04	1131	-0.77	0.07	0.16	0.08	0.48	0.058355438	0.006189213	0.091954023	0.07515473	0.034482759	0.033598585	0.019451813	0.056587091	0.090185676	0.09106985	0.019451813	0.07250221	0.044208665	0.040671972	0.044208665	0.083996463	0.055702918	0.048629531	0.00530504	0.028293546	45.48	73.33	0.9	12.73131903	0.32	0.65	13.71	11	28	0.022	0.187302	4044.51	0.301503	0.4017738	0.405771	0.380195	0.0521662	0.567639	NA	NA	39	8
YAL019W-A	21617.8	10.02	189	0.14	0.1	0.11	0.1	0.49	0.063492063	0.037037037	0.010582011	0.010582011	0.037037037	0.031746032	0.079365079	0.105820106	0.021164021	0.08994709	0.015873016	0.037037037	0.095238095	0.042328042	0.063492063	0.079365079	0.047619048	0.068783069	0.021164021	0.042328042	62.24	96.77	NA	NA	NA	NA	NA	NA	NA	NA	0.555457	1517.37	0.0529101	NA	0.514035	0.137566	0.285714	0.57672	NA	NA	NA	0
YAL020C	36463.6	6.72	333	-0.32	0.08	0.06	-0.1	0.36	0.048048048	0.036036036	0.057057057	0.042042042	0.03003003	0.129129129	0.033033033	0.03003003	0.03003003	0.066066066	0.018018018	0.045045045	0.042042042	0.066066066	0.057057057	0.054054054	0.051051051	0.111111111	0.027027027	0.027027027	31.54	71.02	0.7	NA	0.3	0.67	11.76	8.9	NA	NA	0.373101	3394.42	0.135135	0.2934282	0.551896	0	0.408408	0.591592	NA	NA	29	5
YAL021C	94662.8	6.84	837	-0.56	0.09	0.14	0.13	0.5	0.0609319	0.010752688	0.059737157	0.04181601	0.047789725	0.052568698	0.031063321	0.040621266	0.062126643	0.109916368	0.026284349	0.088410992	0.054958184	0.072879331	0.029868578	0.065710872	0.0609319	0.040621266	0.011947431	0.031063321	44.07	72.9	1.3	11.44086917	0.43	0.71	NA	NA	224	-1.433	0.202446	2345.08	0.100358	0.3763661	0.456643	0.219833	0.09319	0.686977	NA	1	106	16
YAL022C	58298.6	4.69	517	0.26	0.12	0.12	0.11	0.5	0.050290135	0.007736944	0.048355899	0.061895551	0.077369439	0.056092843	0.017408124	0.085106383	0.03868472	0.098646035	0.036750484	0.044487427	0.030947776	0.023210832	0.034816248	0.092843327	0.069632495	0.081237911	0.015473888	0.02901354	36.15	95.8	0.9	7.761551232	0.69	0.72	17.22	13.67	3	NA	0.843608	11895.4	0.206963	0.350618	0.458172	0.491296	0.0618956	0.446809	10	NA	22	2
YAL023C	86871.5	7.78	759	-0.05	0.15	0.24	0.35	0.62	0.059288538	0.014492754	0.04743083	0.039525692	0.067193676	0.065876153	0.027667984	0.051383399	0.044795784	0.104084321	0.031620553	0.048748353	0.046113307	0.028985507	0.043478261	0.088274045	0.048748353	0.061923584	0.035573123	0.044795784	38.19	79.18	2.7	12.66844183	0.47	0.67	33.61	23.92	61	-2.75	0.56313	11463.8	0.130435	0.4309247	0.445614	0.389987	0.113307	0.496706	3	NA	56	8
