orf,localization,GPI,First signal position,SRP dependent,Loop,ORF length (codons),Signal to stop codon length,Pronounced direct SRP binding,Position of direct SRP binding,SRP binding unambiguously assigned,SRP prerecruitment
YBL025W,Cytonuclear,No,,,,145,,,,,
YBL026W,Cytonuclear,No,,,,95,,,,,
YBL027W,Cytonuclear,No,,,,189,,,,,
YBL028C,Cytonuclear,No,,,,106,,,,,
YBL029C-A,Cytonuclear,No,,,,94,,,,,
YBL029W,Cytonuclear,No,,,,376,,,,,
YBL030C,Exception,No,,,,318,,,,,
YBL031W,Cytonuclear,No,,,,338,,,,,
YBL032W,Cytonuclear,No,,,,381,,,,,
YBL033C,Cytonuclear,No,,,,345,,,,,
YBL034C,Cytonuclear,No,,,,1513,,,,,
YBL035C,Cytonuclear,No,,,,705,,,,,
YBL036C,Cytonuclear,No,,,,257,,,,,
YBL037W,Cytonuclear,No,,,,1025,,,,,
YBL038W,mito,No,,,,232,,,,,
YBL039C,Exception,No,,,,579,,,,,
YBL039W-B,TA,No,21,,,59,38,,,,
YBL040C,Exception,No,,Dependent,,219,,,,,
YBL041W,Cytonuclear,No,,,,241,,,,,
YBL042C,TMD,No,132,,No,639,507,Yes,312,No,Yes
YBL043W,Cytonuclear,No,,,,257,,,,,
YBL044W,Cytonuclear,No,,,,122,,,,,
YBL045C,mito,No,,,,457,,,,,
YBL046W,Cytonuclear,No,,,,441,,,,,
YBL047C,Cytonuclear,No,,,,1381,,,,,
YBL049W,Cytonuclear,No,,,,138,,,,,
YBL050W,Cytonuclear,No,,,,292,,,,,
YBL051C,Cytonuclear,No,,,,668,,,,,
YBL052C,Cytonuclear,No,,,,831,,,,,
YBL054W,Exception,No,,,,525,,,,,
YBL055C,Cytonuclear,No,,,,418,,,,,
YBL056W,Cytonuclear,No,,,,468,,,,,
YBL057C,mito,No,,,,208,,,,,
YBL058W,Cytonuclear,No,,,,423,,,,,
YBL059C-A,Cytonuclear,No,,,,109,,,,,
YBL059W,mito,No,,,,193,,,,,
YBL060W,Cytonuclear,No,,,,687,,,,,
YBL061C,Cytonuclear,No,,,,696,,,,,
YBL063W,Cytonuclear,No,,,,1111,,,,,
YBL064C,mito,No,,,,261,,,,,
YBL066C,Cytonuclear,No,,,,1148,,,,,
YBL067C,Cytonuclear,No,,,,747,,,,,
YBL068W,Cytonuclear,No,,,,326,,,,,
YBL069W,Cytonuclear,No,,,,429,,,,,
YBL071C-B,Cytonuclear,No,,,,32,,,,,
YBL071W-A,Cytonuclear,No,,,,82,,,,,
YBL072C,Cytonuclear,No,,,,200,,,,,
YBL074C,Cytonuclear,No,,,,355,,,,,
YBL075C,Cytonuclear,No,,,,649,,,,,
YBL076C,Cytonuclear,No,,,,1072,,,,,
YBL078C,Cytonuclear,No,,,,117,,,,,
YBL079W,Cytonuclear,No,,,,1502,,,,,
YBL080C,mito,No,,,,541,,,,,
YBL081W,Cytonuclear,No,,,,368,,,,,
YBL082C,Exception,No,,Dependent,No,458,,,,,
YBL084C,Cytonuclear,No,,,,758,,Yes,108,,
YBL085W,Cytonuclear,No,,,,980,,,,,
YBL086C,Cytonuclear,No,,,,466,,,,,
YBL087C,Cytonuclear,No,,,,137,,,,,
YBL088C,Cytonuclear,No,,,,2787,,,,,
YBL089W,Exception,No,,Dependent,,459,,,,,
YBL090W,mito,No,,,,177,,,,,
YBL091C,Cytonuclear,No,,,,421,,,,,
YBL091C-A,TA,No,154,,,175,21,,,,
YBL092W,Cytonuclear,No,,,,130,,,,,
YBL093C,Cytonuclear,No,,,,220,,,,,
YBL095W,mito,No,,,,270,,,,,
YBL097W,Cytonuclear,No,,,,754,,,,,
YBL098W,mito,No,,,,460,,,,,
YBL099W,mito,No,,,,545,,,,,
YBL100W-A,Cytonuclear,No,,,,438,,,,,
YBL100W-B,Cytonuclear,No,,,,1770,,,,,
YBL100W-C,SS,No,5,,,39,34,,,,
YBL101C,Cytonuclear,No,,,,1117,,,,,
YBL102W,TMD,No,81,,No,215,134,Yes,190,No,Yes
YBL103C,Cytonuclear,No,,,,486,,,,,
YBL104C,Cytonuclear,No,,,,1038,,,,,
YBL105C,Cytonuclear,No,,,,1151,,,,,
YBL106C,Cytonuclear,No,,,,1010,,,,,
YBL107C,Cytonuclear,No,,,,196,,,,,
YBL108C-A,Cytonuclear,No,,,,42,,,,,
YBL111C,Cytonuclear,No,,,,667,,,,,
YBL112C,Cytonuclear,No,,,,105,,,,,
YBL113C,Exception,No,,,,785,,,,,
YBR001C,mito,No,,,,780,,,,,
YBR002C,Cytonuclear,No,,,,286,,,,,
YBR003W,mito,No,,,,473,,,,,
YBR004C,TMD,No,7,Dependent,,433,426,No,,,Yes
YBR005W,TMD,No,40,Dependent,,213,173,Yes,98,Yes,No
YBR006W,Cytonuclear,No,,,,497,,,,,
YBR007C,Cytonuclear,No,,,,736,,,,,
YBR008C,TMD,No,104,,,548,444,,,,
YBR009C,Cytonuclear,No,,,,103,,,,,
YBR010W,Cytonuclear,No,,,,136,,,,,
YBR011C,Cytonuclear,No,,,,287,,,,,
YBR012W-A,Cytonuclear,No,,,,440,,,,,
YBR012W-B,Cytonuclear,No,,,,1756,,,,,
YBR013C,SS,No,8,Independent,Yes,129,121,No,,,Yes
YBR014C,SS,No,12,Dependent,No,203,191,Yes,75,Yes,Yes
YBR015C,SS,No,13,Independent,No,597,584,No,,,Yes
YBR016W,Cytonuclear,No,,,,128,,,,,
YBR017C,Cytonuclear,No,,,,918,,,,,
YBR018C,Cytonuclear,No,,,,366,,,,,
YBR019C,Cytonuclear,No,,,,699,,,,,
YBR020W,Cytonuclear,No,,,,528,,,,,
YBR021W,Exception,No,,,,633,,,,,
YBR022W,Cytonuclear,No,,,,177,,,,,
YBR023C,TMD,No,168,,Yes,1165,997,Yes,263,No,Yes
YBR024W,Exception,No,,,,301,,,,,
YBR025C,Cytonuclear,No,,,,394,,,,,
YBR026C,mito,No,,,,380,,,,,
YBR028C,Cytonuclear,No,,,,525,,,,,
YBR029C,TMD,No,63,,,457,394,Yes,216,No,Yes
YBR030W,Cytonuclear,No,,,,552,,,,,
YBR031W,Cytonuclear,No,,,,362,,,,,
YBR033W,Exception,No,,,,919,,,,,
YBR034C,Cytonuclear,No,,,,348,,,,,
YBR035C,Cytonuclear,No,,,,228,,,,,
YBR036C,Exception,No,,Independent,No,410,,,,,
YBR037C,mito,No,,,,295,,,,,
YBR038W,Exception,No,,,Yes,963,,,,,
YBR039W,mito,No,,,,311,,,,,
YBR040W,TMD,No,18,Dependent,,298,280,,,,
YBR041W,Exception,No,,Dependent,No,669,,,,,
YBR042C,TMD,No,13,Dependent,No,397,384,Yes,86,No,Yes
YBR043C,TMD,No,109,,,689,580,Yes,195,No,Yes
YBR044C,Cytonuclear,No,,,,572,,,,,
YBR045C,Cytonuclear,No,,,,639,,,,,
YBR046C,Exception,No,,,,334,,,,,
YBR047W,mito,No,,,,175,,,,,
YBR048W,Cytonuclear,No,,,,156,,,,,
YBR049C,Cytonuclear,No,,,,810,,,,,
YBR050C,Cytonuclear,No,,,,338,,,,,
YBR052C,Cytonuclear,No,,,,210,,,,,
YBR053C,Cytonuclear,No,,,,358,,,,,
YBR054W,TMD,No,35,Dependent,No,344,309,Yes,130,No,Yes
YBR055C,Cytonuclear,No,,,,899,,,,,
YBR056W,Cytonuclear,No,,,,501,,,,,
YBR056W-A,Cytonuclear,No,,,,66,,,,,
YBR057C,Cytonuclear,No,,,,366,,,,,
YBR058C,Cytonuclear,No,,,,781,,,,,
YBR058C-A,TA,No,56,Dependent,No,80,24,,,,
YBR059C,Cytonuclear,No,,,,1108,,,,,
YBR060C,Cytonuclear,No,,,,620,,,,,
YBR061C,Cytonuclear,No,,,,310,,,,,
YBR062C,Cytonuclear,No,,,,180,,,,,
YBR063C,Exception,No,,,,404,,,,,
YBR065C,Cytonuclear,No,,,,364,,,,,
YBR066C,Cytonuclear,No,,,,220,,,,,
YBR067C,SS,Yes,7,Independent,Yes,210,203,No,,,No
YBR068C,TMD,No,99,,Yes,609,510,Yes,190,No,Yes
YBR069C,TMD,No,99,,Yes,619,520,Yes,196,No,Yes
YBR070C,Exception,No,,Dependent,No,237,,,,,
YBR071W,Cytonuclear,No,,,,211,,,,,
YBR072C-A,Cytonuclear,No,,,,53,,,,,
YBR072W,Cytonuclear,No,,,,214,,,,,
YBR073W,Cytonuclear,No,,,,958,,,,,
YBR074W,TMD,No,15,,,976,961,Yes,110,Yes,Yes
YBR076W,Cytonuclear,No,,,,354,,,,,
YBR077C,Cytonuclear,No,,,,162,,,,,
YBR078W,SS,Yes,6,Independent,,429,423,No,,,No
YBR079C,Cytonuclear,No,,,,964,,,,,
YBR080C,Cytonuclear,No,,,,758,,,,,
YBR081C,Cytonuclear,No,,,,1332,,,,,
YBR082C,Cytonuclear,No,,,,148,,,,,
YBR083W,Cytonuclear,No,,,,486,,,,,
YBR084C-A,Cytonuclear,No,,,,189,,,,,
YBR084W,mito,No,,,,975,,,,,
YBR085C-A,Cytonuclear,No,,,,85,,,,,
YBR085W,mito,No,,,,307,,,,,
YBR086C,Exception,No,,,No,946,,,,,
YBR087W,Cytonuclear,No,,,,354,,,,,
YBR088C,Cytonuclear,No,,,,258,,,,,
YBR089C-A,Cytonuclear,No,,,,99,,,,,
YBR090C,TMD,No,10,Dependent,,122,112,,,,
YBR091C,Cytonuclear,No,,,,109,,,,,
YBR092C,SS,No,4,Independent,Yes,467,463,,,,
YBR093C,SS,No,4,Independent,,467,463,,,,
YBR094W,Cytonuclear,No,,,,753,,,,,
YBR095C,Cytonuclear,No,,,,430,,,,,
YBR096W,Exception,No,,,,230,,,,,
YBR097W,Cytonuclear,No,,,,1454,,,,,
YBR098W,Cytonuclear,No,,,,691,,,,,
YBR101C,Cytonuclear,No,,,,290,,,,,
YBR102C,Cytonuclear,No,,,,753,,,,,
YBR103W,Cytonuclear,No,,,,535,,,,,
YBR104W,mito,No,,,,329,,,,,
YBR105C,Cytonuclear,No,,,,362,,,,,
YBR106W,TMD,No,28,Dependent,No,188,160,Yes,153,Yes,Yes
YBR107C,Cytonuclear,No,,,,245,,,,,
YBR108W,Cytonuclear,No,,,,947,,,,,
YBR109C,Cytonuclear,No,,,,147,,,,,
YBR110W,TMD,No,8,Dependent,No,449,441,Yes,67,Yes,Yes
YBR111C,Cytonuclear,No,,,,231,,,,,
YBR111W-A,Cytonuclear,No,,,,96,,,,,
YBR112C,Cytonuclear,No,,,,966,,,,,
YBR114W,Cytonuclear,No,,,,790,,,,,
YBR115C,Cytonuclear,No,,,,1392,,,,,
YBR117C,Cytonuclear,No,,,,681,,,,,
YBR118W,Cytonuclear,No,,,,458,,,,,
YBR119W,Cytonuclear,No,,,,298,,,,,
YBR120C,mito,No,,,,162,,,,,
YBR121C,Cytonuclear,No,,,,667,,,,,
YBR122C,mito,No,,,,177,,,,,
YBR123C,Cytonuclear,No,,,,649,,,,,
YBR125C,Cytonuclear,No,,,,393,,,,,
YBR126C,Cytonuclear,No,,,,495,,,,,
YBR126W-A,Exception,No,,,,68,,,,,
YBR127C,Cytonuclear,No,,,,517,,,,,
YBR128C,Cytonuclear,No,,,,344,,,,,
YBR129C,Cytonuclear,No,,,,328,,,,,
YBR130C,Cytonuclear,No,,,,425,,,,,
YBR131W,Cytonuclear,No,,,,704,,,,,
YBR132C,TMD,No,93,,Yes,596,503,Yes,263,No,Yes
YBR133C,Cytonuclear,No,,,,827,,,,,
YBR135W,Cytonuclear,No,,,,150,,,,,
YBR136W,Cytonuclear,No,,,,2368,,,,,
YBR137W,Cytonuclear,No,,,,179,,,,,
YBR138C,Cytonuclear,No,,,,524,,,,,
YBR139W,SS,No,6,Independent,No,508,502,No,,,Yes
YBR140C,Exception,No,,,,3092,,,,,
YBR141C,Cytonuclear,No,,,,337,,,,,
YBR142W,Cytonuclear,No,,,,773,,,,,
YBR143C,Cytonuclear,No,,,,437,,,,,
YBR145W,Cytonuclear,No,,,,351,,,,,
YBR146W,Exception,No,,,,278,,,,,
YBR147W,TMD,No,13,,,296,283,,,,
YBR148W,Cytonuclear,No,,,,609,,,,,
YBR149W,Cytonuclear,No,,,,344,,,,,
YBR150C,Exception,No,,,,1094,,,,,
YBR151W,Cytonuclear,No,,,,316,,,,,
YBR152W,Cytonuclear,No,,,,291,,,,,
YBR153W,Cytonuclear,No,,,,244,,,,,
YBR154C,Cytonuclear,No,,,,215,,,,,
YBR155W,Cytonuclear,No,,,,385,,,,,
YBR156C,Cytonuclear,No,,,,698,,,,,
YBR157C,Cytonuclear,No,,,,255,,,,,
YBR158W,Cytonuclear,No,,,,549,,,,,
YBR159W,TMD,No,19,Dependent,No,347,328,No,,,Yes
YBR160W,Cytonuclear,No,,,,298,,,,,
YBR161W,TMD,No,7,Dependent,,376,369,Yes,132,Yes,Yes
YBR162C,SS,No,8,Independent,Yes,455,447,No,,,Yes
YBR162W-A,TA,No,43,,No,65,22,,,,
YBR163W,mito,No,,,,585,,,,,
YBR164C,Cytonuclear,No,,,,183,,,,,
YBR165W,Cytonuclear,No,,,,277,,,,,
YBR166C,Cytonuclear,No,,,,452,,,,,
YBR167C,Cytonuclear,No,,,,140,,,,,
YBR168W,Exception,No,,Independent,,413,,,,,
YBR169C,Cytonuclear,No,,,,693,,,,,
YBR170C,Cytonuclear,No,,,,580,,,,,
YBR171W,TMD,No,28,Dependent,No,206,178,No,,,Yes
YBR172C,Cytonuclear,No,,,,740,,,,,
YBR173C,Cytonuclear,No,,,,148,,,,,
YBR175W,Cytonuclear,No,,,,315,,,,,
YBR176W,mito,No,,,,312,,,,,
YBR177C,Cytonuclear,No,,,,451,,,,,
YBR179C,mito,No,,,,855,,,,,
YBR180W,TMD,No,110,,,572,462,,,,
YBR181C,Cytonuclear,No,,,,236,,,,,
YBR182C,Cytonuclear,No,,,,452,,,,,
YBR182C-A,Cytonuclear,No,,,,64,,,,,
YBR183W,TMD,No,69,,,316,247,No,,,Yes
YBR184W,Cytonuclear,No,,,,523,,,,,
YBR185C,mito,No,,,,278,,,,,
YBR186W,Cytonuclear,No,,,,564,,,,,
YBR187W,SSTMD,No,8,Independent,Yes,280,272,No,,,Yes
YBR188C,Cytonuclear,No,,,,140,,,,,
YBR189W,Cytonuclear,No,,,,195,,,,,
YBR191W,Cytonuclear,No,,,,160,,,,,
YBR192W,Exception,No,,,,377,,,,,
YBR193C,Cytonuclear,No,,,,223,,,,,
YBR194W,Cytonuclear,No,,,,123,,,,,
YBR195C,Cytonuclear,No,,,,422,,,,,
YBR196C,Cytonuclear,No,,,,554,,,,,
YBR196C-A,TA,No,6,Dependent,,49,43,,,,
YBR196C-B,Exception,No,,,,34,,,,,
YBR197C,Cytonuclear,No,,,,217,,,,,
YBR198C,Exception,No,,,,798,,,,,
YBR199W,TMD,No,11,Dependent,No,464,453,No,,,Yes
YBR200W,Cytonuclear,No,,,,551,,,,,
YBR200W-A,Exception,No,,Independent,,54,,,,,
YBR201C-A,TA,No,23,,,67,44,,,,
YBR201W,TMD,No,14,Dependent,Yes,211,197,No,,,Yes
YBR202W,Cytonuclear,No,,,,845,,,,,
YBR203W,Cytonuclear,No,,,,924,,,,,
YBR204C,Cytonuclear,No,,,,375,,,,,
YBR205W,Exception,No,,Independent,No,404,,,,,
YBR207W,Exception,No,,Dependent,No,465,,,,,
YBR208C,Cytonuclear,No,,,,1835,,,,,
YBR210W,Exception,No,,Independent,No,142,,,,,
YBR211C,Cytonuclear,No,,,,324,,,,,
YBR212W,Cytonuclear,No,,,,672,,,,,
YBR213W,Cytonuclear,No,,,,274,,,,,
YBR214W,Cytonuclear,No,,,,527,,,,,
YBR215W,Cytonuclear,No,,,,625,,,,,
YBR216C,Cytonuclear,No,,,,674,,,,,
YBR217W,Cytonuclear,No,,,,186,,,,,
YBR218C,Cytonuclear,No,,,,1180,,,,,
YBR219C,Exception,No,,,,127,,,,,
YBR220C,TMD,No,19,Dependent,,560,541,No,,,Yes
YBR221C,mito,No,,,,366,,,,,
YBR221W-A,Cytonuclear,No,,,,34,,,,,
YBR222C,Cytonuclear,No,,,,543,,,,,
YBR223C,Cytonuclear,No,,,,544,,,,,
YBR225W,Cytonuclear,No,,,,900,,,,,
YBR227C,mito,No,,,,520,,,,,
YBR228W,Cytonuclear,No,,,,304,,,,,
YBR229C,SS,No,6,Independent,No,954,948,No,,,Yes
YBR230C,mito,No,,,,134,,,,,
YBR230W-A,Exception,No,,,,66,,,,,
YBR231C,Cytonuclear,No,,,,303,,,,,
YBR233W,Cytonuclear,No,,,,413,,,,,
YBR233W-A,Cytonuclear,No,,,,94,,,,,
YBR234C,Cytonuclear,No,,,,384,,,,,
YBR235W,Exception,No,,,,1120,,,,,
YBR236C,Cytonuclear,No,,,,436,,,,,
YBR237W,Cytonuclear,No,,,,849,,,,,
YBR238C,mito,No,,,,731,,,,,
YBR239C,Cytonuclear,No,,,,529,,,,,
YBR240C,Cytonuclear,No,,,,450,,,,,
YBR241C,TMD,No,19,Dependent,,488,469,No,,,Yes
YBR242W,Cytonuclear,No,,,,238,,,,,
YBR243C,Exception,No,,Dependent,No,448,,,,,
YBR244W,Cytonuclear,No,,,,162,,,,,
YBR245C,Cytonuclear,No,,,,1129,,,,,
YBR246W,Cytonuclear,No,,,,387,,,,,
YBR247C,Cytonuclear,No,,,,483,,,,,
YBR248C,Cytonuclear,No,,,,552,,,,,
YBR249C,Cytonuclear,No,,,,370,,,,,
YBR250W,Cytonuclear,No,,,,523,,,,,
YBR251W,mito,No,,,,307,,,,,
YBR252W,Cytonuclear,No,,,,147,,,,,
YBR253W,Cytonuclear,No,,,,121,,,,,
YBR254C,Cytonuclear,No,,,,175,,,,,
YBR255C-A,TMD,No,22,Dependent,,120,98,,,,
YBR255W,Exception,No,,,,694,,,,,
YBR256C,Cytonuclear,No,,,,238,,,,,
YBR257W,Cytonuclear,No,,,,279,,,,,
YBR258C,Cytonuclear,No,,,,142,,,,,
YBR259W,Cytonuclear,No,,,,688,,,,,
YBR260C,Cytonuclear,No,,,,666,,,,,
YBR261C,Cytonuclear,No,,,,232,,,,,
YBR262C,mito,No,,,,106,,,,,
YBR263W,mito,No,,,,490,,,,,
YBR264C,Cytonuclear,No,,,,199,,,,,
YBR265W,TA,No,285,,No,320,35,,,,
YBR267W,Cytonuclear,No,,,,393,,,,,
YBR268W,mito,No,,,,105,,,,,
YBR269C,mito,No,,,,138,,,,,
YBR270C,Cytonuclear,No,,,,545,,,,,
YBR271W,Cytonuclear,No,,,,419,,,,,
YBR272C,Cytonuclear,No,,,,480,,,,,
YBR273C,Cytonuclear,No,,,,436,,,,,
YBR274W,Cytonuclear,No,,,,527,,,,,
YBR275C,Cytonuclear,No,,,,1916,,,,,
YBR276C,Cytonuclear,No,,,,807,,,,,
YBR278W,Cytonuclear,No,,,,201,,,,,
YBR279W,Cytonuclear,No,,,,445,,,,,
YBR280C,Cytonuclear,No,,,,637,,,,,
YBR281C,Cytonuclear,No,,,,878,,,,,
YBR282W,mito,No,,,,146,,,,,
YBR283C,TMD,No,33,Dependent,No,490,457,No,,,Yes
YBR284W,Cytonuclear,No,,,,797,,,,,
YBR285W,Cytonuclear,No,,,,144,,,,,
YBR286W,SS,No,8,Independent,Yes,537,529,No,,,Yes
YBR287W,TMD,No,9,Dependent,No,427,418,Yes,104,No,Yes
YBR288C,Cytonuclear,No,,,,483,,,,,
YBR289W,Cytonuclear,No,,,,905,,,,,
YBR290W,TMD,No,179,,No,321,142,No,,,No
YBR291C,mito,No,,,,299,,,,,
YBR293W,Exception,No,,Independent,,474,,,,,
YBR294W,Exception,No,,,,859,,,,,
YBR295W,TMD,No,559,,,1216,657,,,,
YBR296C,TMD,No,6,Dependent,,574,568,Yes,116,No,Yes
YBR296C-A,Cytonuclear,No,,,,39,,,,,
YBR297W,Cytonuclear,No,,,,468,,,,,
YBR298C,Exception,No,,,,614,,,,,
YBR298C-A,Cytonuclear,No,,,,73,,,,,
YBR299W,Cytonuclear,No,,,,584,,,,,
YBR301W,SS,No,4,Independent,,113,109,,,,
YBR302C,TMD,No,46,Independent,,379,333,,,,
YCL001W,Exception,No,,,No,188,,,,,
YCL001W-A,Cytonuclear,No,,,,153,,,,,
YCL001W-B,Cytonuclear,No,,,,84,,,,,
YCL002C,TMD,No,5,Dependent,,263,258,No,,,Yes
YCL004W,Cytonuclear,No,,,,521,,,,,
YCL005W,Exception,No,,Dependent,,256,,,,,
YCL005W-A,TMD,No,5,Dependent,,73,68,Yes,69,No,Yes
YCL008C,Cytonuclear,No,,,,385,,,,,
YCL009C,mito,No,,,,309,,,,,
