uniprot,gene,name
Q94175,C43G2.4,best-9
Q21626,R01H10.6,bbs-5
P46505,F23F12.9,zip-8
Q95Y80,Y119C1B.8,bet-1
Q19705,F22B5.1,evl-20
P54688,K02A4.1,bcat-1
O18178,W08G11.4,pptr-1
P46561,C34E10.6,atp-2
Q3LRZ3,K02B12.4,axl-1
O45100,F57H12.7,mec-17
Q9U2M8,Y37H9A.3,
Q27517,T10B9.5,cyp-13A3
Q9U298,Y48B6A.4,eat-2
P54244,K03B8.9,deg-3
G5ECD6,T25G3.2,chs-1
Q8STE5,Y106G6E.5,ced-12
Q9TVL3,H25P06.2,cdk-9
Q19978,F32G8.4,best-14
P34577,T20G5.4,best-18
Q20952,F57F5.4,add-2
Q9NEZ7,Y105E8A.5,bbs-1
Q19640,F20D12.3,bbs-2
P20631,F15H10.2,col-13
Q9XXK1,H28O16.1,atp-1
P18834,C46A5.3,col-14
P34319,C07A9.8,best-5
Q9U2D6,Y46G5A.10,cnp-2
O01530,F21F8.7,asp-6
O18304,ZK849.5,best-26
O45687,K12G11.4,sodh-2
Q21551,M176.3,chch-3
Q23450,ZK20.4,coa-7
G5EFA2,T27F2.3,bir-1
P41830,F44A6.2,sex-1
O45379,F19H8.3,arl-3
Q10002,T05H10.2,apn-1
Q10946,B0361.2/B0361.1,
Q21985,R13F6.2,clec-159
G5ED29,D2045.1,atx-2
O17850,F28F8.6,atx-3
Q9U2R0,Y17G7B.18,
Q27515,T10B9.3,cyp-13A6
P46560,B0285.10,ckb-3
O45166,F37B4.7,folt-2
Q17941,C12D8.10,akt-1
G5EEW9,R01H10.8,cnk-1
O01822,F57C9.3,glo-2
P54002,C14A4.3,algn-9
Q17345,Y56A3A.20,ccf-1
P91408,T01B11.2,eppl-1
P0DM42,T04C12.4,act-3
Q17603,C03D6.5,asfl-1
Q19326,F10G7.3,unc-85
Q8MYM9,Y39B6A.34,
Q93560,F25D7.3,blmp-1
P34531,M01A8.2,clip-1
Q09653,ZK1320.4,cyp-13A10
P41886,F37A4.9,bath-41
Q19124,F02E8.5,atg-16.1
G5EDN0,F55D10.5,acc-3
Q09455,C09G5.4,col-39
Q22885,B0507.2,
Q03609,ZC84.3,cls-3
Q21221,K04G2.2,aho-3
Q17761,T25B9.9,
Q22516,T14G8.1,chd-3
P17139,K04H4.1,emb-9
P46580,C34E10.5,prmt-5
P90921,K07A12.3,asg-1
Q19204,F08C6.1,adt-2
P34212,ZK632.8,arl-5
Q94231,F45E4.1,arf-1.1
Q22942,C52B9.1,cka-2
P34552,R10E12.1,alx-1
P34324,C08C3.2,bath-15
O76612,T07H3.1,bath-47
Q9XWZ2,Y45F3A.3,acdh-11
Q9N4M4,ZK973.6,anc-1
P03949,M79.1,abl-1
Q22618,T20H4.4,adr-2
P17329,K10B3.8,gpd-2
P46551,B0285.1,cdk-12
O76368,F29C4.8,col-99
G5EDN6,F55C10.1,cnb-1
G5EBM1,Y48E1B.13,csp-1
Q17460,B0222.8,col-10
P20163,F43E2.8,hsp-4
P34312,C07A9.1,clec-162
Q19970,F32E10.3,clec-180
Q09993,K10B2.4,
P30647,ZK643.1,arrd-15
O02219,C25A1.11,aha-1
Q22197,T05A6.1,cki-1
G5EFF5,F11A1.3,daf-12
Q9N4C2,Y76B12C.7,cpsf-1
G5EC84,F20B4.6,cgt-2
P34638,ZK507.6,cya-1
P34379,D2007.5,atg-13
P46558,B0285.8,ckb-1
P34371,C50C3.8,bath-42
P34568,T16H12.5,bath-43
Q9U7D5,Y40H4A.1,gar-3
Q22931,C50E3.16,folt-3
Q17328,F25F8.2,glc-2
V6CIV8,C05B10.1,lip-1
Q09967,B0244.8,egg-1
Q18164,C25F6.3,dpyd-1
Q09958,C18A3.3,
P32744,R107.6,cls-2
P24891,MTCE.23,ctc-3
Q8MXQ7,Y92H12BL.1,
Q19529,F17E5.2,
P34472,F58A4.5,clec-161
Q9XWH0,Y54G9A.6,bub-3
Q22531,T16G12.1,
Q09316,F25B5.5,
Q9BMK9,E04F6.11,clh-3
P34574,T20G5.1,chc-1
Q21565,M195.3,amt-3
P17140,F01G12.5,let-2
O01805,C44E4.6,acbp-1
Q20507,F47B10.7,acbp-3
Q9BKS0,Y82E9BR.3,
Q09443,C08B11.6,arp-6
Q09305,F10B5.2,
G5EGH6,F10D2.9,fat-7
O02323,T22G5.2,lbp-7
Q23280,ZC395.10,daf-41
P20792,F29C4.1,daf-1
P48583,F09B9.3,erd-2.1
Q22695,T23F11.3,cdka-1
Q9U2M5,Y38F1A.5,cyd-1
Q8IA98,Y54F10AM.4,ceh-44
P54216,T05D4.1,aldo-1
G5ED05,R13G10.4,cnnm-5
O44712,C41G7.5,ahr-1
Q18879,C56A3.7,cav-2
Q9TXJ0,K07A9.2,cmk-1
Q11178,C05D10.1,attf-4
P34313,C07A9.2,bud-31
Q09369,ZK1321.3,aqp-10
G5EC68,C50F2.10,abf-2
Q22004,R166.3,
Q20748,F54B3.3,atad-3
O45145,W02F12.2,
P34489,K01B6.1,fozi-1
G5EBQ8,F48A11.1,chs-2
Q03571,C40H1.1,cpb-1
P54889,T22H6.2,alh-13
Q94051,T13F2.8,cav-1
P34616,ZK112.7,cdh-3
O44441,B0546.1,mai-2
Q9N4I0,Y71F9AL.16,arx-1
Q10931,B0336.8,lgg-3
P90771,C34B7.3,cyp-36A1
Q20681,F52H3.3,bath-38
Q21929,R11D1.11,dhs-21
P49191,D2024.3,elo-3
Q10572,T07D1.4,fox-1
P49809,F28C1.2,egl-10
Q19768,F23H12.6,gcy-13
Q8MPX3,T15H9.7,dnj-20
Q27464,B0035.5,gspd-1
P34300,C06E1.5,fip-3
Q19052,E04D5.1,eif-2A
O61667,F23B12.9,egl-1
Q17433,B0035.2,dnj-2
P52017,B0252.4,cyn-10
O76360,F55A8.2,egl-4
Q09435,AH6.1,gcy-1
Q8STF6,C33G3.1,dyc-1
Q09336,ZK1290.9,fbxa-224
Q09276,C43C3.3,dyf-7
P34268,B0523.5,fli-1
Q9XW78,Y75B8A.31,
P34441,F54C8.3,emb-30
P34382,F02A9.2,far-1
Q19829,F26G1.4,ttm-2
P34499,K03H1.3,ttr-3
O16887,C29G2.6,
Q22285,T07C12.7,ttr-46
Q09449,C05C10.2,
O01839,B0414.8,vps-51
Q10027,T28D9.11,
Q10014,T25E4.1,
Q21802,R07B7.12,
P34526,K12H4.5,
P98080,F56D2.1,ucr-1
P34482,F59B2.6,zif-1
G5EES6,C05C10.6,ufd-3
Q7YWU9,T01E8.9,ubxn-5
Q10906,AH9.3,
Q19753,F23B12.7,
P34388,F09G8.3,mrps-9
A5JYW9,F02E9.4,sin-3
Q20574,F48F7.2,syx-2
Q86DA5,F13B10.1,tir-1
Q18786,C52E4.3,snr-4
Q17361,C13B4.2,usp-14
P34510,K06H7.2,
Q09424,R07G3.7,
Q1ZXS5,T08G5.5,vps-39
Q9GUC9,F14F9.5,
O02228,C48D1.3,cho-1
Q20735,F53H8.4,sms-2
Q5FC64,AC3.10,spe-10
Q09442,C08B11.5,sap-49
Q19954,F32A6.3,vps-41
Q20591,F49C12.13,vha-17
Q10928,B0302.5,
P34410,F22B7.7,twk-7
Q09320,F40B5.2,
P46504,F23F12.8,
Q2WF59,T24C4.6,zer-1
Q11094,C02B8.4,hlh-8
Q09954,F59B10.6,
Q11194,C04E7.3,
O17389,F08F1.8,tth-1
P91853,F26H9.7,uev-3
P34665,ZK652.8,
Q23049,T25F10.5,bbs-8
Q11106,C03B8.3,
Q09623,ZK945.4,
P34572,T16H12.9,
Q21898,R10E11.8,vha-1
P90978,Y92C3B.2,uaf-1
Q93847,K04G11.4,wdr-5.2
Q09394,F43C1.5,
Q21265,K07C11.5,tag-225
P41954,D1044.6,
P34327,C13G5.2,
Q20822,F55C5.8,srpa-68
Q9N598,Y110A7A.11,
Q18594,C44B7.5,
P34290,C05B5.2,
Q9XTQ7,H13N06.5,zipt-7.2
O01901,F59E12.10,ddl-1
Q10125,F52C9.5,
Q11123,C03F11.2,
Q18416,C33H5.2,
Q09504,C45G9.2,
P41845,T20B12.5,
Q19005,D2096.6,
Q19238,F09A5.2,
Q09378,ZK673.6,
Q09202,AH6.3,
P91343,F55F8.5,wdr-12
O01323,F18A11.3,
Q09452,C09F5.3,
P34269,C02C2.1/C02C2.2,tyr-1
O76565,F13C5.5,
P34711,ZC416.8,unc-17
P34815,F27D9.1,unc-18
Q11125,C03F11.4,
Q93761,F53C11.3,
P34614,ZK112.5,
Q09214,B0495.5,
Q09218,B0495.9,
Q10919,F22D3.4,
Q09264,C32D5.4,
Q19213,F08G12.4,vhl-1
P34625,ZK353.2,
P34558,T05G5.5,
Q8I7G4,F54C1.5,dyf-1
Q9XVI6,T22G5.5,sptl-3
Q09665,ZK673.7,tnc-2
Q9U3D4,H21P03.3,sms-1
Q03606,T23G5.2,
Q23240,ZC116.2,cyc-2.2
P09446,F26D10.3,hsp-1
Q22058,T01C3.9,hrde-2
Q18336,C30G7.1,hil-1
P34341,C29E4.2,kle-2
Q21743,R05F9.5,gst-9
P91443,T10H10.1,hum-6
P49049,T05E11.5,imp-2
Q21795,R07B7.5,kmo-1
Q9TZD0,R160.7,lst-2
O16391,C17E7.8,nhr-124
O16354,F44C8.8,nhr-133
O17706,C54C8.1,nhr-169
O17657,C41G6.5,nhr-164
Q23294,ZC410.1,nhr-11
Q09528,E02H1.7,nhr-19
O17931,K06B4.7,nhr-197
O17930,K06B4.6,nhr-268
Q17381,F38A6.1,pha-4
P41828,C01H6.5,nhr-23
Q19345,F11C1.6,nhr-25
Q20065,F35G2.4,phy-2
G5EFU0,C45B11.1,pak-2
Q17771,C07A12.3,nhr-35
P34556,T05G5.3,cdk-1
G5ED44,W06D12.3,fat-5
Q20303,F41H10.8,elo-6
Q20402,F44F4.2,egg-3
P34688,F46C8.6,dpy-7
O16294,F32D1.5,
Q10656,F58A3.2,egl-15
Q21827,R07E5.1,
G5EFQ0,ZK896.8,gcy-18
P34562,T05G5.9,gcc-2
Q20123,F37C12.2,epg-4
O16544,C17F4.6,gcy-19
Q7JKY3,T23F1.7,dpf-1
B3WFY8,M04C9.5,dyf-5
G5ECZ4,ZK520.3,dyf-2
Q21102,K01H12.1,
Q21065,F52E10.5,ifa-3
Q09566,F48E8.1,lon-1
P34428,F44B9.7,mdt-30
Q9BI74,R144.9,mdt-11
Q17431,B0035.11,leo-1
O16277,F59A7.4,hil-6
P34892,M176.7,kin-16
Q09254,C16C10.11,har-1
O17536,C18G1.5,hil-4
Q18846,C54G4.1,rskn-2
O17862,F37H8.1,lir-3
Q20561,F48D6.3,hlh-13
Q9U308,Y105C5B.21,jac-1
O61955,B0348.6,ife-3
Q09499,C41C4.4,ire-1
G5ECM9,R01B10.1,cpi-2
Q27487,Y54G11A.5,ctl-2
P55954,Y37D8A.14,cox-5A
Q8I7J4,F57B9.4,coq-2
Q09296,EEED8.6,ccpp-6
P27798,Y38A10A.5,crt-1
Q9N5U5,F35F11.1,cdc-73
P91001,B0547.1,csn-5
P30648,ZK643.2,
Q21005,F58G6.4,acc-1
O16519,T05H4.14,gad-1
P90829,F10C2.4,
Q20911,ZC116.3,
Q10669,F39B2.4,sur-2
Q09490,C32D5.9,lgg-1
P41779,F31E3.1,ceh-20
Q93353,C37E2.1,idhb-1
P34885,F57F5.5,pkc-1
Q09525,E02H1.4,parp-2
Q20848,F55G1.9,
P41999,B0280.8,nhr-10
O17748,E03H4.6,nhr-174
Q9N4Q7,Y5H2B.2,nhr-13
O02151,T01B10.4,nhr-14
Q27521,T12C9.6,nhr-16
Q18673,ZK20.6,nep-1
Q09565,F43C1.4,nhr-20
O45503,F39B2.11,mtx-1
O61847,K03E5.3,cdk-2
P34624,ZK353.1,cyy-1
O44502,R02D3.2,cogc-8
Q09406,K06A1.5,atg-16.2
Q09459,C09G5.8,mks-5
Q95ZK7,T07F8.3,gld-3
G5EFL0,ZK858.1,gld-4
Q17949,C14A4.1,dohh-1
P52011,Y75B12B.5,cyn-3
Q19165,F07D3.2,flp-6
O16881,C10F3.2,dhs-16
P11141,C37H5.8,hsp-6
P30625,R07E4.6,kin-2
P34400,F10E9.6,mig-10
Q09591,M106.1,mix-1
Q27888,F13D12.2,ldh-1
Q05036,C30C11.4,hsp-110
Q9XW71,Y75B8A.11,lury-1
Q966M6,C55B7.8,dbr-1
Q22053,T01C3.7,fib-1
P54406,K02A4.2,gpc-1
Q17449,B0218.1,faah-1
Q20870,F56D1.7,daz-1
O45766,T10C6.5,cwc-15
Q17336,F33A8.1,let-858
P45970,T09A5.10,lin-5
B2D6M2,R06C7.7,lin-61
Q20502,F47B10.2,haly-1
Q19952,F32A5.7,lsm-4
Q09233,C09G5.3,col-79
Q9U2H1,Y42A5A.4,cdkl-1
Q9N593,Y110A7A.17,mat-1
Q18317,C30B5.3,cpb-2
P83388,T19B4.1,pamn-1
O44516,F56A11.3,efn-4
P34298,C06E1.3,doxa-1
Q19196,F08B4.5,pole-2
Q9XXJ0,Y17G7B.4,dhps-1
Q966M5,C55B7.9,mdt-18
O61788,R12E2.4,inx-17
Q22918,C37C3.2,
O44548,K06A5.4,knl-2
P22981,ZK792.6,let-60
B6VQ60,C36A4.8,brc-1
Q05062,R07G3.1,cdc-42
Q20168,F38E11.5,copb-2
G5ECJ0,H35N03.1,exp-1
O01738,F20H11.1,
Q18066,C18A11.7/C18A11.8,dim-1
P34559,T05G5.6,ech-6
Q19013,DH11.1,glna-2
Q9BIG5,T07A9.7,gpa-4
O01811,W02D3.3,mec-6
Q21360,K08F8.1,mak-1
Q19468,F14F3.3,mboa-7
G5EDB2,E02H4.3,madd-3
G5EFJ4,F29D11.2,capg-1
O02108,W08F4.8,cdc-37
Q21175,K03B4.7,cpg-8
O17901,F59E10.3,copz-1
G5EGN2,VZK822L.1,fat-6
Q95QG8,F36F2.6,fcp-1
Q93903,M163.4,gfi-3
Q9XWS2,Y106G6H.7,sec-8
Q6DNF7,C06B3.8,gcy-32
G5ECR8,F11E6.1,gba-3
P28052,E02C12.5,gpa-3
Q9N4Z0,Y45G12B.3,
Q8I4B0,ZK1321.2,shk-1
O76358,C45G7.2,ilys-2
Q17827,C08F8.1,pfd-1
Q19076,EGAP2.3,pho-1
P41829,C48D5.1,nhr-6
O16604,C49D10.6,nhr-75
Q18143,C25A8.4,cht-3
O01884,K07B1.2,coq-6
Q09285,C56G2.1,akap-1
Q9XWN6,Y43F8C.14,ani-3
P34460,F54H12.6,eef-1B.1
Q27497,F29F11.6,gsp-1
G5EGU2,F10G8.4,eak-6
P46555,B0285.5,hse-5
Q21407,K10B3.6,gpcp-1
O17695,C53A5.3,hda-1
Q09573,K02A2.3,kcc-3
Q22717,T24B8.6,hlh-3
Q22071,T01E8.4,mec-15
P34328,C14B9.1,hsp-12.2
O01925,R155.1,mboa-6
P34496,PAR2.1,mtss-1
Q20025,F35C8.6,pfn-2
Q21252,K06A4.1,nas-3
Q04908,C30C11.2,rpn-3
Q69Z08,W07G1.5,rpi-1
Q22366,T10A3.1,unc-10
O45539,F49B2.5,src-2
P46565,T12A2.9,srg-8
P46566,T12A2.10,srg-9
Q17784,C07E3.1,stip-1
O61660,Y56A3A.27,top-3
Q10657,Y17G7B.7,tpi-1
Q19992,F33H1.5,srd-1
Q21767,R05H5.1,srd-2
P30635,ZK637.10,trxr-2
P50605,F57C7.3,sdn-1
O17800,F13A7.2,srd-63
Q19473,F15A2.3,srd-51
O17966,M01E5.5,top-1
Q11193,C04E7.2,sor-3
Q21993,R151.9,pfd-5
Q9U757,Y71F9AM.5,nxt-1
Q17440,B0035.16,mttu-1
Q95XG8,Y69A2AR.4,smf-3
P34389,F09G8.4,ncr-2
Q9N2W7,Y94H6A.8,
P34343,C29E4.4,npp-15
Q09476,C28H8.6,pxl-1
P34586,ZC21.2/ZC21.1,trp-1
Q45EK7,C23G10.7,
Q20618,F49E12.5,sra-13
P91209,F07C4.5,srd-30
O18689,F28C12.2,sra-18
O17823,F17A2.8,srd-44
Q10934,B0304.5,sra-32
Q10936,B0304.7,sra-34
Q09206,AH6.8,sra-4
Q09541,F21H12.6,tpp-2
O45306,C47A10.4,sre-21
O62489,Y57A10C.4,sre-26
O62488,Y57A10C.3,sre-27
Q03566,C38C10.1,tkr-1
Q9N5R9,F55A3.3,spt-16
O02161,T09B4.9,tin-44
Q93196,C09E9.1,
P34276,C02D5.2,
Q10020,T28D9.1,
Q11086,C01C10.2,
P34671,ZK688.1,
Q27533,W08D2.5,
E9P886,C55A6.2,ttll-5
P34477,F58A4.10,ubc-7
Q19297,F10D7.3,
Q02331,ZK370.4,
P34648,ZK632.2,
P50581,T27A8.3,
Q09462,C16C10.2,
P27715,ZK524.2,unc-13
Q11070,B0416.2,
Q93705,Y16B4A.1,unc-3
Q09337,ZK1290.10,
G5ECR9,F55D12.4,unc-55
Q09506,C45G9.7,
Q09349,T05H10.5,ufd-2
Q10121,C23G10.2,
Q09295,EEED8.4,
P34571,T16H12.8,srt-55
Q9NAD6,Y51H4A.17,sta-1
Q17413,B0001.4,
P41881,F37A4.3,
Q19584,F19B6.2,ufd-1
Q8WT51,F35H12.5,
Q09949,F12A10.8,
Q21038,F59F3.1,ver-3
Q10010,T19C3.4,
Q21752,R05G6.7,vdac-1
O17607,C27H6.2,ruvb-1
Q10019,T25D10.4,
Q10030,C27D6.1,
Q11113,C03B1.6,
Q09348,T05H10.4,
O17861,F37H8.5,
Q09350,T09B9.4,
Q09341,W02B3.4,
P34710,F41C6.1,unc-6
P35129,M7.1,let-70
Q09343,W02B3.7/W02B3.5,
Q20745,F54B11.3,unc-84
P50439,F53A9.9,
P34608,ZK1098.9,
P41843,T20B12.3,
Q09619,ZK892.6,
Q09303,F07F6.2,
Q09529,EEED8.2,
Q09600,R06F6.2,vps-11
Q03598,C40H1.6,ufc-1
P41880,F37A4.2,
Q18217,C26E6.8,ula-1
Q09951,F59B10.3,
Q09249,C16C10.3,
Q10008,T19C3.2,
P52478,C35B1.1,ubc-1
Q11076,B0403.2,ubc-17
Q09364,ZK1320.2,
Q09365,ZK1320.3,
Q11188,C05D11.9,
Q09284,C52A11.3,
Q19626,F20B6.2,vha-12
P55326,F13E6.1,
P34658,ZK637.12,
Q9GT24,F59E12.2,zyg-1
Q9GUM2,Y73E7A.7,bre-4
P18833,F11H8.3,col-8
Q95QW4,C15B12.7,cdf-1
H2KYS8,F31D5.3,cpna-1
P34545,R10E11.1,cbp-1
P43508,F44C4.3,cpr-4
P34455,F54H12.1,aco-2
Q09304,F07F6.5,dct-5
O61213,F56C11.1,bli-3
G5EDR5,K08F8.3,fut-1
Q9NDH7,C55B7.2,gly-2
Q21554,M18.5,ddb-1
Q6DNF4,C46E1.2,gcy-36
P34405,F22B7.2,flp-23
Q22328,T07H6.5,lev-9
Q7YTM8,F36H1.9,hrg-5
O44770,K04F10.2,
O44740,F57B10.12,mei-2
G5ED47,ZK455.6,hizr-1
Q23593,ZK792.2,inx-8
O62255,F52G2.1,dcap-2
Q9NLA1,F09B12.6,flr-4
O61397,Y46H3A.6,gly-7
P53013,F31E3.5; R03G5.1,eft-3; eft-4
Q564Q1,C47B2.6,gale-1
P46577,C34E10.2,gop-2
Q22706,T23G7.4,sec-5
Q18600,C44B7.11,
P34271,C02C2.3,cup-4
Q9XWE9,Y6B3B.10,lagr-1
Q27484,C50F4.5,his-41
P06582,Y46H3A.3,hsp-16.2
P30639,ZK637.3,lnkn-1
Q21693,R04A9.4,ife-2
P19625,C36E6.3,mlc-1
Q95Q39,ZC13.4,mab-7
Q09510,C56G7.1,mlc-4
Q95PZ2,Y67H2A.4,micu-1
Q22633,T21C12.2,hpd-1
Q21624,R01H10.3,cor-1
Q21771,R06C7.4,cpg-3
Q10462,R173.1,cah-5
Q21270,K07C11.9,cogc-6
O02655,F47G4.7,smd-1
Q9BI40,Y66D12A.7,
P35799,T14B4.6,dpy-2
Q23646,ZK856.11,
O61789,R12E2.10,egg-5
O01971,M01D7.6,emr-1
Q09553,F27E5.4,phg-1
Q27295,F13G3.8,eat-5
P28051,T19C4.6,gpa-1
Q17392,F45E12.3,cul-4
O44406,T07A9.5,eri-1
Q19906,F29F11.3,tut-2
P34439,F54C8.1,
P09588,T10C6.12; F45F2.4; ZK131.6; ZK131.10; K06C4.11; K06C4.3; F35H10.1; F17E9.13; F08G2.2; B0035.7; F07B7.10; F07B7.3; F54E12.5; F55G1.10; H02I12.7; T23D8.6,his-3; his-7; his-12; his-16; his-19; his-21; his-30; his-33; his-43; his-47; his-51; his-53; his-57; his-61; his-65; his-68
O01833,B0414.3,hil-5
P34555,T05G5.2,hlh-4
Q9XVN3,F46F3.4,ape-1
A0SQM0,Y48G1A.6,mbtr-1
V6CLA2,C34D4.14,hecd-1
P90747,C10C6.6,catp-8
Q9XUM6,W02A11.5,bath-34
P90794,D2030.9,wdr-23
O45583,F56H6.5,gmd-2
O62215,F33A8.5,sdhd-1
Q09322,F42A8.3,cup-15
G5EF84,C45G3.5,gip-2
P34540,R05D3.7,unc-116
G5EG86,T07E3.5,brc-2
Q18486,C35D10.4,coq-8
G5ECJ6,Y48G1C.2,csk-1
O18037,T06C12.10,cgt-1
P34358,C48B4.4,ced-7
P34524,K12H4.3,
Q9XV51,F29C12.5,bath-45
Q09315,F25B5.3,
P49713,W03G11.3,
O17214,H14A12.2,fum-1
P34691,C01F6.4,fem-3
P17330,K10B3.7,gpd-3
Q23424,ZK1248.14,fzo-1
Q27894,T10C6.11; F45F2.12; K06C4.4; K06C4.12; F07B7.4; F07B7.11,his-4; his-8; his-20; his-22; his-52; his-54
P41877,F37A4.8,isw-1
Q20106,F36H1.5,hrg-4
P34474,F58A4.7,hlh-11
Q11117,C03B1.12,lmp-1
Q94071,T21H8.1,hlb-1
G5EF33,F43C9.4,mig-13
H2L2B8,F15H10.3,apc-10
Q20779,F54D8.2,cox-6A
Q22036,LLC1.1,tra-3
P50488,C05D2.1,daf-4
P34413,F22B7.10,dpy-19
A8WFJ9,F22A3.1,ets-4
Q10025,T28D9.7,del-10
Q86ME2,F18F11.5,drl-1
Q86GV3,T01A4.1,gcy-28
Q9TW65,F15D3.1,dys-1
Q27490,E03A3.4,his-70
Q23629,ZK836.2,ogdh-2
G5EDW2,B0457.1,lat-1
Q95Q17,Y54E5B.3,let-49
Q94250,K02H8.1,mbl-1
P06581,Y46H3A.2,hsp-16.41
Q9XUU9,K05C4.2,
P34684,C07H6.7,lin-39
Q9U281,Y49E10.6,his-72
P34705,F10C2.2,kup-1
Q9GYS1,C09G4.5,mes-6
O18214,Y53C12B.5,mab-3
P91869,F32H2.2,mdt-31
Q10905,AH9.2,crn-4
P91428,T03F1.2,coq-4
Q09221,B0228.4,cpna-2
Q22498,T14G10.5,copg-1
P43509,W07B8.5,cpr-5
Q9XTR1,F18H3.5,cdk-4
Q17586,C01H6.6,cnnm-4
G5EDL5,K07C5.5,ceeh-2
Q27516,T10B9.4,cyp-13A8
Q23500,ZK455.1,aco-1
Q8MNU8,C29E4.12,
Q18086,C18C4.9,glb-6
Q21452,M01F1.3,
Q18508,C38D4.3,mel-28
P02513,T27E4.3; T27E4.9,hsp-16.48; hsp-16.49
P20154,ZC247.3,lin-11
Q11107,C03B8.4,lin-13
G5EDT1,C32F10.2,lin-35
Q9GYI4,F29B9.4,psr-1
Q21017,F58H12.1,kin-29
Q9U2A9,Y48B6A.1,
Q10654,T06E6.2,cyb-3
Q966L3,E01A2.6,akir-1
Q95YF0,C07H6.3,cls-1
Q7Z1Z1,T24D1.1,sqv-5
Q21444,C06G3.10,cogc-2
Q09994,K10B2.5,ani-2
Q19267,F09E8.2,crld-1
Q9XWB9,Y75B12B.4,bath-36
Q93149,K11G12.7,acr-3
Q9XTI0,B0250.5,
P34514,K06H7.6/K06H7.5,apc-2
Q960A1,B0222.9,gad-3
Q11092,C02B8.2,fbxc-38
Q19572,F18G5.3,gpa-12
Q9XWC3,Y73F4A.2,
Q23529,ZK546.1,zyg-12
G5ECX0,B0286.2,lat-2
Q9Y0A1,F33D4.2,itr-1
P34683,K10G6.1,lin-31
Q17895,C10A4.8,mnm-2
Q20054,F35G12.6,mab-21
Q9N4F2,Y71H2B.6,mdt-19
P34575,T20G5.2,cts-1
P46559,B0285.9,ckb-2
O01635,ZK770.1,asic-1
Q20655,F52D10.3,ftt-2
Q8IG39,C44B7.12,
P29691,F25H5.4,eef-2
P34644,ZK512.6,eat-4
P34682,F53F1.5,cut-2
Q21215,K04D7.1,rack-1
P34689,T21G5.3,glh-1
Q966L9,C55B7.1,glh-2
O44827,H17B01.1,fgt-1
Q22915,C37C3.8,memo-1
Q9U297,Y48B6A.11,jmjd-2
P52192,R03E9.4,irk-1
O45734,T03E6.7,cpl-1
Q18905,Y38C9A.2,cgp-1
Q18212,C26D10.2,hel-1
P54412,F17C11.9,eef-1G
G5EBR3,F11A5.10,glc-1
Q09248,C28H8.12,dnc-2
Q95Y72,Y119D3B.15,dss-1
P92006,M04G12.3,gcy-34
H2L002,F52E1.4,gcy-7
Q93712,F43G9.10,mfap-1
